"fixed_acidity","volatile_acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","density","pH","sulphates","alcohol","quality","type"
6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6,"white"
6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7,"white"
7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4,"white"
5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6,"white"
6.7,0.3,0.74,5,0.038,35,157,0.9945,3.21,0.46,9.9,5,"white"
8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,6,"white"
6,0.16,0.37,1.5,0.025,43,117,0.9928,3.46,0.51,9.7,6,"white"
7,0.21,0.37,7.2,0.042,36,167,0.9958,3.26,0.56,9.8,6,"white"
7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,6,"white"
6.3,0.12,0.36,2.1,0.044,47,146,0.9914,3.27,0.74,11.4,7,"white"
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5,"red"
6.6,0.26,0.36,1.2,0.035,43,126,0.99094,3.01,0.63,11.4,6,"white"
8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5,"red"
6.6,0.44,0.09,2.2,0.063,9,18,0.99444,3.42,0.69,11.3,6,"red"
6.6,0.25,0.31,1.5,0.035,32,127,0.9921,3.41,0.47,11.3,6,"white"
7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6,5,"red"
7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8,6,"red"
7.8,0.19,0.26,8.9,0.039,42,182,0.996,3.18,0.46,9.9,6,"white"
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7,"white"
9.6,0.25,0.54,1.3,0.04,16,160,0.9938,2.94,0.43,10.5,5,"white"
7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4,5,"white"
7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5,"white"
5.6,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,6,"white"
10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,6,"red"
6.7,0.22,0.22,1.2,0.038,5,124,0.99098,3.1,0.37,11.2,4,"white"
7,0.22,0.26,2.8,0.036,44,132,0.99078,3.34,0.41,12,7,"white"
7.1,0.62,0.06,1.3,0.07,5,12,0.9942,3.17,0.48,9.8,5,"red"
7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4,"white"
6.2,0.44,0.39,2.5,0.077,6,14,0.99555,3.51,0.69,11,6,"red"
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6,"red"
7.8,0.3,0.36,4.6,0.024,20,198,0.99222,3.06,0.66,11.9,6,"white"
6.5,0.35,0.31,10.2,0.069,58,170,0.99692,3.18,0.49,9.4,5,"white"
11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,6,"red"
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5,"red"
6.5,0.16,0.33,4.8,0.043,45,114,0.992,3.18,0.44,11.2,6,"white"
5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,8,"white"
6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6,"white"
9,0.55,0.3,8.1,0.026,14,71,0.993,2.94,0.36,11.8,5,"white"
7.9,0.51,0.36,6.2,0.051,30,173,0.9984,3.09,0.53,9.7,5,"white"
8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,7,"white"
5.9,0.32,0.26,1.5,0.057,17,141,0.9917,3.24,0.36,10.7,5,"white"
7,0.31,0.31,9.1,0.036,45,140,0.99216,2.98,0.31,12,7,"white"
7.9,0.4,0.3,1.8,0.157,2,45,0.99727,3.31,0.91,9.5,6,"red"
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8,"white"
6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7,"white"
7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,5,"white"
11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,6,"red"
6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,4,"red"
7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,6,"red"
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6,"red"
6.7,0.48,0.32,1.4,0.021,22,121,0.9889,3.15,0.53,12.7,7,"white"
9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,5,"red"
6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,5,"white"
7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7,"white"
7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,5,"red"
7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5,"white"
5.9,0.26,0.3,1,0.036,38,114,0.9928,3.58,0.48,9.4,5,"white"
6.3,0.32,0.26,12,0.049,63,170,0.9961,3.14,0.55,9.9,6,"white"
8,0.42,0.32,2.5,0.08,26,122,0.99801,3.22,1.07,9.7,5,"red"
7.8,0.21,0.49,1.2,0.036,20,99,0.99,3.05,0.28,12.1,7,"white"
9.7,0.295,0.4,1.5,0.073,14,21,0.99556,3.14,0.51,10.9,6,"red"
6.4,0.16,0.22,1.4,0.04,41,149,0.9933,3.49,0.58,10,6,"white"
6.4,0.24,0.32,0.95,0.041,23,131,0.99033,3.25,0.35,11.8,5,"white"
5,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,7,"white"
6.3,0.22,0.34,1.2,0.036,32,96,0.98961,3.06,0.74,11.6,6,"white"
7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6,"white"
6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,6,"white"
5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,6,"white"
6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,6,"white"
7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5,"red"
7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11,6,"white"
7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6,"red"
6.4,0.32,0.25,5,0.055,28,138,0.99171,3.27,0.5,12.4,8,"white"
5.1,0.26,0.33,1.1,0.027,46,113,0.98946,3.35,0.43,11.4,7,"white"
9.9,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6,7,"red"
6.5,0.13,0.37,1,0.036,48,114,0.9911,3.41,0.51,11.5,8,"white"
7.3,0.18,0.29,1,0.036,26,101,0.99,3.09,0.37,11.7,6,"white"
7,0.24,0.32,1.3,0.037,39,123,0.992,3.17,0.42,11.2,8,"white"
7.7,0.64,0.21,2.2,0.077,32,133,0.9956,3.27,0.45,9.9,5,"red"
8.2,0.18,0.38,1.1,0.04,41,92,0.99062,2.88,0.6,12,6,"white"
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5,"red"
7.6,0.15,0.4,1.3,0.036,24,112,0.9932,3.14,0.76,10,5,"white"
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5,"white"
6.4,0.46,0.22,14.7,0.047,51,183,0.998275,3.39,0.6,10.5,5,"white"
9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,6,"white"
7.7,0.39,0.3,5.2,0.037,29,131,0.9943,3.38,0.44,11,6,"white"
6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,5,"white"
7.5,0.32,0.24,4.6,0.053,8,134,0.9958,3.14,0.5,9.1,3,"white"
7.8,0.34,0.27,1.2,0.04,25,106,0.9932,3.01,0.55,10.4,5,"white"
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,"red"
7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,7,"white"
7.8,0.28,0.32,9,0.036,34,115,0.9952,3.17,0.39,10.3,7,"white"
6.4,0.37,0.49,13.3,0.045,53,243,0.9982,3.14,0.48,8.5,6,"white"
7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,5,"red"
6.5,0.33,0.32,1,0.041,39,120,0.99004,3.06,0.37,12.2,6,"white"
7,0.35,0.31,1.8,0.069,15,162,0.9944,3.18,0.47,9.4,5,"white"
7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6,"white"
9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,6,"red"
6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5,"white"
9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6,"red"
6,0.42,0.41,12.4,0.032,50,179,0.99622,3.14,0.6,9.7,5,"white"
5.9,0.22,0.18,6.4,0.041,28,120,0.99403,3.27,0.5,9.9,5,"white"
6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,6,"red"
5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4,6,"white"
6.2,0.46,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8,5,"red"
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5,"red"
7.4,0.56,0.09,1.5,0.071,19,117,0.99496,3.22,0.53,9.8,5,"white"
7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,6,"red"
6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4,5,"white"
10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,5,"red"
7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6,"white"
7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7,8,"red"
6.6,0.31,0.49,7.7,0.05,52,220,0.9964,3.12,0.45,8.8,5,"white"
9,0.47,0.31,2.7,0.084,24,125,0.9984,3.31,0.61,9.4,5,"red"
7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5,"red"
7.1,0.3,0.46,1.5,0.066,29,133,0.9906,3.12,0.54,12.7,6,"white"
7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,5,"red"
6.3,0.22,0.34,5,0.032,36,93,0.99012,3.27,0.36,13.5,7,"white"
6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,6,"white"
12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,6,"red"
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,"red"
7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,5,"white"
7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5,"white"
7.8,0.17,0.5,1.3,0.045,35,140,0.9904,3.16,0.4,12,6,"white"
5.7,0.245,0.33,1.1,0.049,28,150,0.9927,3.13,0.42,9.3,5,"white"
7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,7,"white"
5.7,0.12,0.26,5.5,0.034,21,99,0.99324,3.09,0.57,9.9,6,"white"
6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,4,"white"
7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6,"white"
6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.2666666666667,7,"white"
6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6,5,"red"
6.8,0.26,0.46,8.3,0.037,49,173,0.99601,3.17,0.47,9.3,5,"white"
7.5,0.38,0.29,12.7,0.05,25,209,0.9986,3.25,0.59,9.3,6,"white"
8.5,0.32,0.36,14.9,0.041,47,190,0.9982,3.08,0.31,10,6,"white"
5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,6,"white"
6,0.28,0.27,4.1,0.046,50,147,0.99126,3.27,0.56,11.6,6,"white"
8.3,0.25,0.49,16.8,0.048,50,228,1.0001,3.03,0.52,9.2,6,"white"
6,0.36,0.32,1.1,0.053,26,173,0.99414,3.38,0.54,8.8,5,"white"
9.2,0.32,0.42,1.3,0.046,14,186,0.9949,3.08,0.48,9.6,5,"white"
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,"white"
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6,"white"
10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,6,"red"
6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5,"white"
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5,"red"
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8,"white"
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5,"white"
6.8,0.3,0.26,20.3,0.037,45,150,0.99727,3.04,0.38,12.3,6,"white"
9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,6,"red"
7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,5,"red"
7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5,"red"
8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,5,"red"
5.9,0.24,0.12,1.4,0.035,60,247,0.99358,3.34,0.44,9.6,6,"white"
6.3,0.3,0.91,8.2,0.034,50,199,0.99394,3.39,0.49,11.7,6,"white"
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,"red"
7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,7,"white"
7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,7,"red"
7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,6,"red"
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4,"red"
6.5,0.26,0.32,6.65,0.059,34,104,0.99254,3.18,0.42,11.1,5,"white"
8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6,"red"
6.6,0.41,0.16,1.4,0.037,28,160,0.99167,2.95,0.45,10.6,6,"white"
9,0.31,0.48,6.6,0.043,11,73,0.9938,2.9,0.38,11.6,5,"white"
5.7,0.36,0.21,6.7,0.038,51,166,0.9941,3.29,0.63,10,6,"white"
6.8,0.34,0.1,1.4,0.049,29,118,0.9936,3.21,0.41,9.5,5,"white"
7.7,0.275,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,5,"white"
9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,7,"red"
7.8,0.82,0.29,4.3,0.083,21,64,0.99642,3.16,0.53,9.4,5,"red"
6,0.21,0.34,2,0.042,63,123,0.99052,3.44,0.42,11.4,6,"white"
6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,6,"white"
10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,5,"red"
8.3,0.4,0.41,8.2,0.05,15,122,0.9979,3.39,0.49,9.3,5,"white"
6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,5,"white"
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,"red"
6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5,"white"
6.1,0.34,0.24,18.35,0.05,33,184,0.99943,3.12,0.61,9.3,5,"white"
10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5,"red"
8,0.32,0.36,4.6,0.042,56,178,0.9928,3.29,0.47,12,6,"white"
8.2,0.24,0.3,2.3,0.05,23,106,0.99397,2.98,0.5,10,5,"white"
6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5,"red"
6.3,0.34,0.28,14.7,0.047,49,198,0.9977,3.23,0.46,9.5,5,"white"
7.7,0.3,0.26,18.95,0.053,36,174,0.99976,3.2,0.5,10.4,5,"white"
6.1,0.2,0.25,1.2,0.038,34,128,0.9921,3.24,0.44,10.1,5,"white"
8.8,0.2,0.43,15,0.053,60,184,1.0008,3.28,0.79,8.8,6,"white"
9.9,0.49,0.58,3.5,0.094,9,43,1.0004,3.29,0.58,9,5,"red"
7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,8,"white"
7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,6,"red"
8.5,0.19,0.49,3.5,0.044,29,117,0.9938,3.14,0.51,10.1,6,"white"
7.4,0.29,0.31,1.7,0.035,23,110,0.9926,3.07,0.38,10.9,5,"white"
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,"white"
7.8,0.29,0.33,8.75,0.035,33,181,0.9962,3.11,0.46,10.7,5,"white"
8,0.4,0.33,7.7,0.034,27,98,0.9935,3.18,0.41,12.2,7,"white"
6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5,6,"white"
6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,5,"white"
6.8,0.32,0.43,1.6,0.05,4,65,0.99346,3.27,0.47,10.7,5,"white"
6.6,0.21,0.36,0.8,0.034,48,113,0.99165,3.24,0.68,10.5,6,"white"
8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5,"red"
6.8,0.24,0.4,1.8,0.047,34,105,0.99,3.13,0.49,12.8,8,"white"
5.9,0.32,0.33,2.1,0.027,35,138,0.98945,3.37,0.42,12.7,6,"white"
7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6,"white"
7,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,7,"red"
6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,6,"white"
5.8,0.315,0.19,19.4,0.031,28,106,0.99704,2.97,0.4,10.55,6,"white"
6.2,0.3,0.26,13.4,0.046,57,206,0.99775,3.17,0.43,9.5,6,"white"
6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,5,"white"
6.7,0.26,0.3,1.8,0.043,25,121,0.9944,3.44,0.61,10.2,6,"white"
10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6,"red"
7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9,6,"white"
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,"white"
8,0.3,0.28,5.7,0.044,31,124,0.9948,3.16,0.51,10.2,6,"white"
6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6,"white"
11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,7,"red"
6.7,0.22,0.39,1.2,0.049,26,152,0.99346,3.5,0.47,10,6,"white"
6.9,0.49,0.19,1.7,0.079,13,26,0.99547,3.38,0.64,9.8,6,"red"
6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4,"white"
6.3,0.22,0.57,1.4,0.208,14,96,0.9932,3.16,0.43,10,6,"white"
8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,6,"red"
7.6,0.17,0.35,1.6,0.047,43,154,0.9934,3.36,0.69,11.1,6,"white"
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5,"white"
6.2,0.18,0.3,1,0.031,23,73,0.99032,3.23,0.52,11.3,6,"white"
6.8,0.67,0,1.9,0.08,22,39,0.99701,3.4,0.74,9.7,5,"red"
8.2,0.23,0.49,0.9,0.057,15,73,0.9928,3.07,0.38,10.4,6,"white"
6.3,0.48,0.48,1.8,0.035,35,96,0.99121,3.49,0.74,12.2,6,"white"
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,"red"
6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,7,"white"
6.3,0.24,0.29,1.6,0.052,48,185,0.9934,3.21,0.5,9.4,5,"white"
7.2,0.3,0.26,1.5,0.041,46,178,0.99154,3.19,0.56,11.3,6,"white"
6.2,0.2,0.49,1.6,0.065,17,143,0.9937,3.22,0.52,9.2,6,"white"
6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,6,"red"
11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,7,"red"
6,0.19,0.26,1.4,0.039,30,104,0.98998,3.32,0.41,12.4,6,"white"
6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5,"red"
7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6,6,"red"
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4,"red"
7.9,0.26,0.33,10.3,0.039,73,212,0.9969,2.93,0.49,9.5,6,"white"
6.4,0.22,0.31,13.9,0.04,57,135,0.99672,3.21,0.38,10.7,5,"white"
6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,5,"red"
6.3,0.17,0.23,5.7,0.048,44,147,0.99382,3.08,0.54,10,5,"white"
6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,5,"white"
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6,"red"
8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,5,"red"
6.6,0.88,0.04,2.2,0.066,12,20,0.99636,3.53,0.56,9.9,5,"red"
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5,"red"
9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9,6,"red"
9.2,0.19,0.42,2,0.047,16,104,0.99517,3.09,0.66,10,4,"white"
8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,"white"
8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,7,"red"
9.4,0.33,0.59,2.8,0.079,9,30,0.9976,3.12,0.54,12,6,"red"
7.3,0.23,0.24,0.9,0.031,29,86,0.98926,2.9,0.38,12.2,6,"white"
5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6,"white"
6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7,"white"
7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,6,"white"
6.5,0.23,0.38,1.3,0.032,29,112,0.99298,3.29,0.54,9.7,5,"white"
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6,"red"
9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,5,"red"
7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6,"red"
7.3,0.2,0.37,1.2,0.037,48,119,0.992,3.32,0.49,10.9,6,"white"
7.2,0.585,0.2,10.4,0.086,17,94,0.99681,3.13,0.4,9.4,5,"white"
6.8,0.22,0.31,6.3,0.035,33,170,0.9918,3.24,0.66,12.6,6,"white"
8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,5,"red"
6.9,0.24,0.23,7.1,0.041,20,97,0.99246,3.1,0.85,11.4,6,"white"
8.1,0.2,0.4,2,0.037,19,87,0.9921,3.12,0.54,11.2,6,"white"
4.8,0.17,0.28,2.9,0.03,22,111,0.9902,3.38,0.34,11.3,7,"white"
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7,"red"
6.6,0.285,0.49,11.4,0.035,57,137,0.99732,3.08,0.54,8.9,6,"white"
6.6,0.26,0.38,6.5,0.17,68,201,0.9956,3.19,0.38,9.4,6,"white"
5.9,0.22,0.29,4.2,0.037,69,144,0.99214,3.13,0.74,10.8,7,"white"
6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6,"white"
7.2,0.19,0.31,1.6,0.062,31,173,0.9917,3.35,0.44,11.7,6,"white"
9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,4,"red"
8,0.29,0.29,13.2,0.046,26,113,0.9983,3.25,0.37,9.7,6,"white"
7.5,0.42,0.19,6.9,0.041,62,150,0.99508,3.23,0.37,10,6,"white"
6.8,0.26,0.43,11.75,0.045,53,198,0.9969,3.26,0.55,9.5,5,"white"
6.6,0.23,0.24,3.9,0.045,36,138,0.9922,3.15,0.64,11.3,7,"white"
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7,"red"
9.3,0.5,0.36,1.8,0.084,6,17,0.99704,3.27,0.77,10.8,6,"red"
6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,7,"white"
8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6,"white"
7.6,0.29,0.58,17.5,0.041,51,225,0.9997,3.16,0.66,9.5,6,"white"
7.1,0.45,0.24,2.7,0.04,24,87,0.98862,2.94,0.38,13.4,8,"white"
7.8,0.21,0.34,11.9,0.039,55,140,0.9959,3.02,0.31,10.3,6,"white"
6.6,0.54,0.21,16.3,0.055,41,182,0.9986,3.35,0.54,10.4,6,"white"
7.6,0.43,0.31,2.1,0.069,13,74,0.9958,3.26,0.54,9.9,6,"red"
5.7,0.23,0.28,9.65,0.025,26,121,0.9925,3.28,0.38,11.3,6,"white"
8.8,0.39,0.35,1.8,0.096,22,80,0.99016,2.95,0.54,12.6,6,"white"
10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,6,"red"
7.5,0.26,0.38,5.7,0.021,23,125,0.99338,3.13,0.62,11.1,6,"white"
6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7,"white"
6.2,0.47,0.21,1,0.044,13,98,0.99345,3.14,0.46,9.2,5,"white"
7.1,0.28,0.28,8.5,0.03,25,191,0.99338,3.16,0.46,12.2,7,"white"
6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,5,"white"
6.4,0.225,0.48,2.2,0.115,29,104,0.9918,3.24,0.58,12.1,6,"white"
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,"red"
8.4,0.35,0.71,12.2,0.046,22,160,0.9982,2.98,0.65,9.4,5,"white"
6.6,0.16,0.32,1.4,0.035,49,186,0.9906,3.35,0.64,12.4,8,"white"
9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,6,"red"
7.6,0.17,0.36,4.5,0.042,26,102,0.99427,3.09,0.47,9.5,5,"white"
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5,"red"
7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,5,"white"
5.8,0.17,0.36,1.3,0.036,11,70,0.99202,3.43,0.68,10.4,7,"white"
7.5,0.42,0.45,9.1,0.029,20,125,0.996,3.12,0.36,10.1,6,"white"
6.8,0.35,0.44,6.5,0.056,31,161,0.9952,3.14,0.44,9.5,5,"white"
